272,1.42,1800.35,272,1.92667,5.36488
266,1.59667,1800.46,266,2.00667,5.09672
285,1.46,1800.38,285,1.78333,12.6786
285,1.16,1800.33,285,1.52,5.14126
289,1.13333,1800.32,289,1.62667,4.13173
254,1.37333,1800.48,254,1.64,1800.09
277,1.25,1800.39,277,1.87333,13.5815
255,1.33667,1800.29,258,2.16333,1800.14
252,1.56,1800.41,252,2.24333,10.6663
266,1.63,1799.26,266,2.01667,8.28958
,,,,,
217,1.86667,1800.37,218,2.84,8.28174
230,2.48667,1800.29,230,2.93,13.895
230,2.33667,1800.49,230,2.97,8.15176
204,2.51333,1800.37,204,3.37,8.69628
208,2.53333,1800.46,208,3.15333,6.04595
206,3.08333,1800.41,206,3.26,70.0939
210,2.84333,1800.81,210,3.12,20.113
190,3.37667,1800.43,190,3.75667,15.2297
193,3.26,1800.39,197,4.24333,21.9812
209,2.94333,1800.41,214,3.06,16.0013
,,,,,
200,3.77667,1800.44,200,4.83333,11.8341
177,5.64333,1800.39,173,7.31667,133.455
181,7.99,1800.42,181,6.87333,398.896
181,8.25333,1800.53,181,7.07333,1801.11
176,4.88667,1800.54,176,5.51333,2.8477
170,10.9633,1798.15,165,8.03333,1800.16
180,6.46,1800.45,173,6.4,7.94556
178,6.86333,1799.91,178,6.03333,11.6242
172,6.78667,1800.31,172,6.07,620.831
192,4.86667,1800.33,192,4.52,1851.78
,,,,,
169,14.34,1800.39,164,11.8067,1800.02
166,17.5033,1801.21,163,15.2567,1800.01
163,13.2667,1800.27,162,11.9067,1800.01
168,13.5567,1800.31,164,11.3833,1800.1
162,15.0267,1801.48,162,14.04,1800.02
169,17.0533,1802.01,162,12.38,1800.05
166,14.7767,1800.4,163,13.7933,1800.05
171,12.1933,1800.32,163,10.98,1800.02
168,13.7133,1800.38,166,13.47,1800.05
171,14.16,1800.76,165,12.53,1800.04
,,,,,
183,23.6067,1800.37,158,19.0433,1799.99
161,19.98,1800.73,159,18.4467,1799.82
167,18.7633,1800.63,159,16.2233,1800.06
182,21.2633,1800.52,159,17.59,1800.09
172,22.5433,1800.39,157,20.49,1800.05
159,21.5033,1800.19,157,20.0633,1799.98
178,22.1833,1800.56,159,19.8933,1800.03
161,18.39,1800.3,160,17.2367,1800.04
164,22.44,1800.13,159,19.3567,1800.03
163,21.2767,1800.31,159,20.18,962.76
