231.5,27.1617,260.008,237,27.26,0.0917996,
231.5,34.2333,1800.02,237.5,34.425,0.120558,
231.5,35.2717,1800.01,233,35.14,0.124547,
230.5,39.1167,1800.04,230.5,37.13,0.235695,
229,30.9567,1575.96,236.5,31.6067,0.0569511,
229,38.67,1800.09,229,37.79,0.192324,
231.5,34.1517,1800.03,234.5,33.9217,0.0736463,
229,32.175,255.183,233.5,32.215,0.0613982,
229,35.16,1800.05,232,35.5633,0.138086,
231,30.605,1800.03,234,31.345,0.154479,
301,60.71,1800.02,306,60.8233,0.0836121,
302,67.95,1800.02,309,69.02,0.0550763,
302,69.9433,1800.09,302,69.42,0.0577699,
301,72.3967,679.904,302,72.9967,0.0444551,
301,66.0633,1800.02,302,65.6167,0.0532799,
300,73.95,0.19314,300,73.95,0.0233463,
302,67.9167,1800.02,304,67.89,0.0650418,
302,68.04,1800.02,303,67.8267,0.0576062,
300,69.81,1538.66,301,69.8233,0.0676314,
303,65.9733,1800.02,308,65.9667,0.0556567,
375,97.5167,1800.02,382,97.8333,0.0789803,
374.5,103.983,1800.02,376,104.42,0.0518766,
375,106.31,1800.03,376,106.397,0.0526683,
374.5,109.49,1167.82,378.5,109.947,0.0456789,
374.5,102.75,1800.02,385.5,103.19,0.0514819,
374,110.95,0.147283,374,110.95,0.0227816,
375,104.597,1800.02,376,104.707,0.0628414,
375,105.18,1800.02,375.5,104.9,0.0581757,
374,106.81,1800.02,374.5,106.817,0.0617027,
375.5,101.883,1800.02,378,102.805,0.0543371,
448,133.93,2.77711,451,133.94,0.0157255,
448,140.8,0.163175,454,141.33,0.00648329,
451,142.957,0.0640137,451,142.957,0.00478051,
454,146.317,0.248144,460,146.437,0.00846276,
448,139.457,0.0822254,478,140.457,0.00143397,
448,147.95,0.0194571,448,147.95,0.00125006,
451,142.493,0.206379,460,141.277,0.00517914,
448,141.5,0.478732,460,141.66,0.0090363,
484,154.37,0.0317446,484,145.25,0.00323233,
448,138,0.825878,455,140.257,0.00718393,
