234.5,28.405,1800.06,232,26.655,0.200484,
233,34.9467,1800.06,233,33.765,0.274266,
231.5,35.2717,1800.04,233,35.14,0.127823,
230.5,39.1167,1800.07,230.5,37.13,0.24871,
229,30.9567,1608.08,236.5,31.6067,0.0566638,
229,38.67,1800.12,229,37.79,0.22212,
231.5,33.9517,1800.05,234.5,33.5517,0.16234,
230.5,32.85,1800.04,232,32.7467,0.148014,
229,35.16,1800.09,232,35.5633,0.138347,
231,30.605,1800.05,234,31.345,0.143002,
303,61.7933,1800.06,306,61.25,0.165593,
303,69.0867,1800.07,302,67.8367,0.238162,
302,69.4367,1800.04,302,69.1433,0.108604,
302,72.9333,1800.06,302,72.3133,0.21186,
301,66.0633,1800.04,302,65.6167,0.0503698,
303,75.37,1800.05,302,74.25,0.186709,
302,68.0833,1800.05,303,67.36,0.163671,
303,69.4,1800.09,303,67.8267,0.135006,
301,70.6367,1800.1,301,69.8833,0.145606,
304,66.7667,1800.05,304,65.2867,0.150118,
376.5,98.2533,1800.05,378,98.1633,0.17098,
374.5,103.99,1800.05,378.5,104.5,0.266329,
375,106.163,1800.04,376.5,105.993,0.121075,
376,110.16,1800.06,376.5,109.583,0.230775,
374.5,102.75,1800.04,385.5,103.19,0.0501069,
375.5,111.987,1800.06,381,111.377,0.198586,
375,104.63,1800.04,376.5,104.64,0.155101,
374.5,104.587,1800.05,379.5,104.583,0.142945,
374.5,107.123,1800.05,377,107.6,0.14123,
375.5,102,1800.06,376,101.477,0.146056,
448,133.93,1800.06,451,133.94,0.186559,
448,140.8,1800.06,451,140.81,0.275085,
448,142.947,1800.04,448,142.947,0.124864,
448,146.277,1800.06,448,146.277,0.227822,
448,139.457,1800.04,451,139.467,0.0522355,
448,147.95,1800.06,454,147.99,0.200109,
448,141.117,1800.06,448,141.117,0.1695,
448,141.5,1800.05,451,141.51,0.139785,
448,143.81,1800.05,451,143.82,0.139935,
448,138,1800.05,451,138.01,0.139726,
